Table 8,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2018",,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Chikaming Township,"3,094",3,0,2,0,1,32,5,26,1,1
Chocolay Township,"5,936",7,0,0,0,7,21,5,15,1,0
Clare,"3,055",13,0,5,0,8,51,5,41,5,0
Clarkston,926,0,0,0,0,0,3,1,1,1,0
Clawson,"11,962",12,0,3,1,8,69,13,56,0,0
Clayton Township,"7,121",7,0,1,0,6,31,8,17,6,0
Clay Township,"8,849",13,0,1,2,10,62,5,54,3,1
Clinton,"2,281",2,0,0,0,2,13,2,9,2,0
Clinton Township,"101,279",322,3,58,23,238,"1,422",163,"1,102",157,10
Clio,"2,491",4,0,1,0,3,38,4,30,4,0
Coldwater,"10,736",49,0,21,2,26,312,52,244,16,1
Coleman,"1,193",0,0,0,0,0,2,0,2,0,0
Coloma Township,"6,369",10,0,4,0,6,109,19,87,3,1
Colon,"1,157",2,0,1,0,1,15,2,11,2,0
Columbia Township,"7,356",17,0,1,1,15,74,5,65,4,0
Commerce Township,"39,023",15,0,1,4,10,195,28,163,4,2
Constantine,"2,103",16,0,8,2,6,36,8,26,2,0
Corunna,"3,359",3,0,0,0,3,21,4,15,2,0
Covert Township,"2,849",16,1,4,2,9,36,13,21,2,0
Croswell,"2,267",11,1,5,0,5,29,4,25,0,2
Crystal Falls,"1,365",5,0,4,0,1,33,1,30,2,0
Davison,"4,893",10,0,4,0,6,55,9,42,4,0
Davison Township,"19,177",40,0,11,0,29,171,36,125,10,2
Dearborn,"94,022",314,1,36,82,195,"1,871",233,"1,438",200,7
Dearborn Heights,"55,495",243,0,20,39,184,911,235,557,119,9
Decatur,"1,737",19,0,2,0,17,46,5,34,7,0
Denton Township,"5,384",3,0,1,0,2,63,5,58,0,0
Detroit,"671,275","13,478",261,988,"2,309","9,920","28,897","7,440","15,003","6,454",853
DeWitt,"4,742",3,0,0,0,3,25,2,22,1,0
DeWitt Township,"15,194",18,0,10,1,7,127,33,89,5,0
Dryden Township,"4,744",3,0,2,0,1,33,4,28,1,0
Durand,"3,296",9,0,3,0,6,56,6,43,7,1
East Grand Rapids,"11,886",6,0,2,2,2,122,19,95,8,0
East Jordan,"2,343",2,0,2,0,0,39,5,32,2,0
East Lansing,"48,880",107,1,34,13,59,807,91,536,180,6
Eastpointe,"32,526",222,1,33,45,143,"1,063",170,605,288,8
Eaton Rapids,"5,194",15,0,3,1,11,52,4,46,2,0
Eau Claire,603,0,0,0,0,0,4,0,3,1,0
Ecorse,"9,184",96,1,5,13,77,294,79,171,44,5
Elkton,751,0,0,0,0,0,9,0,9,0,0
Elsie,977,1,0,1,0,0,1,0,1,0,0
Emmett Township,"11,619",42,0,5,2,35,606,57,525,24,2
Escanaba,"12,169",41,0,15,0,26,337,20,309,8,1
Essexville,"3,306",1,0,0,0,1,15,3,12,0,0
Evart,"1,860",12,0,3,0,9,32,5,25,2,0
Fair Haven Township,"1,038",1,0,1,0,0,0,0,0,0,0
Farmington,"10,605",20,0,3,0,17,58,2,51,5,0
Farmington Hills,"81,239",69,1,16,9,43,681,85,554,42,3
Fennville,"1,419",1,0,1,0,0,7,1,6,0,0
Fenton,"11,225",17,0,7,2,8,207,21,173,13,1
Ferndale,"20,095",39,0,6,7,26,341,52,243,46,0
Flat Rock,"9,967",26,2,1,3,20,144,14,119,11,1
Flint,"95,677","1,739",32,130,189,"1,388","2,584",796,"1,488",300,29
Flint Township,"30,378",266,0,34,32,200,"1,214",186,951,77,12
Flushing,"7,890",11,0,6,1,4,94,8,83,3,0
Flushing Township,"10,179",5,0,2,0,3,45,12,30,3,3
Forsyth Township,"6,199",27,1,9,0,17,48,10,36,2,0
Fowlerville,"2,953",6,0,6,0,0,53,6,47,0,0
Frankenmuth,"5,290",5,0,2,1,2,69,6,54,9,0
Frankfort,"1,279",0,0,0,0,0,13,2,10,1,0
Franklin,"3,266",3,0,1,0,2,9,2,7,0,0
Fraser,"14,626",23,0,6,3,14,198,17,159,22,1
Fremont,"4,008",7,0,1,1,5,151,11,137,3,1
Fruitport Township,"14,168",15,0,3,4,8,544,20,513,11,1
Gaines Township,"6,100",3,0,0,0,3,24,6,16,2,1
Galien,535,0,0,0,0,0,0,0,0,0,0
Garden City,"26,520",105,0,21,7,77,241,79,140,22,3
Garfield Township,829,0,0,0,0,0,0,0,0,0,0
Gaylord,"3,693",23,0,8,0,15,256,7,244,5,1
Genesee Township,"20,447",73,0,12,9,52,256,58,162,36,1
Gerrish Township,"2,919",5,0,2,1,2,16,5,8,3,1
Gibraltar,"4,474",6,0,1,0,5,34,5,27,2,0
Gladstone,"4,721",4,0,0,0,4,45,6,35,4,0
Gladwin,"2,874",17,0,2,0,15,65,15,48,2,2
Grand Beach,282,0,0,0,0,0,3,0,3,0,0
Grand Blanc,"7,841",4,0,1,0,3,72,7,63,2,0
Grand Blanc Township,"36,489",49,0,16,2,31,448,55,363,30,2
Grand Haven,"10,984",21,1,9,0,11,173,21,143,9,0
Grand Ledge,"7,804",7,0,5,1,1,82,9,72,1,0
Grand Rapids,"200,428","1,313",5,141,319,848,"3,830",679,"2,881",270,37
Grandville,"16,057",28,0,13,4,11,516,33,461,22,1
Grant,882,5,0,1,0,4,24,4,19,1,0
Grayling,"1,837",13,0,1,0,12,59,14,43,2,0
Green Oak Township,"18,874",25,0,10,1,14,140,25,108,7,0
Greenville,"8,437",42,0,19,2,21,283,33,241,9,1
Grosse Ile Township,"10,128",3,0,1,0,2,34,2,28,4,0
Grosse Pointe,"5,157",6,0,4,0,2,90,7,76,7,0
Grosse Pointe Farms,"9,116",6,0,1,1,4,90,14,73,3,0
Grosse Pointe Park,"11,069",0,0,0,0,0,175,17,150,8,0
Grosse Pointe Shores,"2,907",0,0,0,0,0,9,0,7,2,0
Grosse Pointe Woods,"15,497",13,0,2,5,6,225,41,172,12,0
Hamburg Township,"22,024",10,0,4,0,6,67,10,54,3,0
Hampton Township,"9,458",18,1,7,2,8,97,15,76,6,4
Hamtramck,"21,668",166,1,7,42,116,493,117,292,84,7
Hancock,"4,545",8,0,2,0,6,26,4,20,2,0
Harbor Beach,"1,591",6,0,1,0,5,30,1,29,0,0
Harbor Springs,"1,205",1,0,0,0,1,8,0,8,0,0
Harper Woods,"13,674",128,0,11,27,90,677,92,470,115,2
Hart,"2,101",12,0,2,0,10,145,12,130,3,0
Hastings,"7,310",14,2,8,0,4,159,15,138,6,0
Hazel Park,"16,501",53,2,9,12,30,284,38,217,29,5
Highland Park,"10,794",188,5,12,34,137,344,58,200,86,8
Highland Township,"20,137",15,0,2,1,12,99,27,63,9,1
Hillsdale,"8,120",21,0,9,0,12,103,28,70,5,1
Holland,"33,405",142,1,37,15,89,728,106,579,43,1
Holly,"6,170",7,0,2,1,4,48,9,39,0,2
Houghton,"7,914",7,0,3,0,4,116,3,112,1,0
Howell,"9,532",26,0,11,0,15,112,8,97,7,0
Hudson,"2,221",8,0,2,0,6,39,5,32,2,0
Huntington Woods,"6,328",4,0,3,0,1,35,3,31,1,1
Huron Township,"15,930",34,0,9,2,23,120,27,78,15,0
Imlay City,"3,579",7,0,3,0,4,38,6,30,2,0
Independence Township,"36,925",16,1,0,2,13,191,37,146,8,0
Inkster,"24,334",262,9,40,43,170,656,242,312,102,9
Ionia,"11,170",48,0,33,0,15,120,14,101,5,0
Iron Mountain,"7,327",3,0,3,0,0,9,0,9,0,0
Iron River,"2,818",6,0,1,0,5,59,23,35,1,3
Ironwood,"4,915",2,0,1,0,1,50,3,44,3,0
Ishpeming,"6,441",19,0,4,0,15,75,7,63,5,0
Ishpeming Township,"3,528",0,0,0,0,0,3,1,2,0,0
Jackson,"32,602",366,6,68,43,249,"1,387",195,"1,068",124,29
Jonesville,"2,206",7,0,2,1,4,90,4,85,1,0
Kalamazoo,"76,020","1,008",7,117,159,725,"3,825",842,"2,646",337,23
Kalamazoo Township,"24,623",98,1,21,8,68,660,147,433,80,4
Kalkaska,"2,068",2,0,2,0,0,22,1,21,0,0
Keego Harbor,"3,465",10,3,0,1,6,34,3,29,2,0
Kentwood,"52,192",193,0,28,37,128,"1,100",183,850,67,3
Kinde,418,0,0,0,0,0,0,0,0,0,0
Kingsford,"4,960",11,0,7,0,4,31,2,29,0,0
Kinross Township,"7,432",2,0,1,0,1,16,3,10,3,0
Laingsburg,"1,277",4,0,1,0,3,13,4,7,2,0
Lake Angelus,309,0,0,0,0,0,0,0,0,0,0
Lake Linden,969,2,0,0,0,2,1,0,1,0,0
Lake Odessa,"2,031",2,0,2,0,0,4,1,3,0,0
Lake Orion,"3,118",3,0,0,0,3,30,5,25,0,0
Lakeview,"1,005",1,0,1,0,0,32,4,27,1,0
Lansing,"117,380","1,301",8,149,182,962,"3,557",868,"2,252",437,22
Lansing Township,"8,213",67,1,14,15,37,525,82,405,38,0
Lapeer,"8,697",37,1,12,2,22,267,29,226,12,2
Lapeer Township,"5,036",0,0,0,0,0,11,4,7,0,0
Lathrup Village,"4,130",6,0,2,3,1,33,5,26,2,0
Laurium,"1,924",4,0,0,0,4,10,3,7,0,0
Lawton,"1,847",4,0,1,0,3,38,9,27,2,0
Lennon,484,1,0,0,0,1,8,5,3,0,0
Leslie,"1,889",2,0,0,1,1,15,7,8,0,0
Lexington,"1,107",3,0,1,0,2,7,0,6,1,0
Lincoln Park,"36,466",208,0,17,31,160,"1,023",195,724,104,3
Lincoln Township,"14,585",12,0,4,0,8,177,62,111,4,1
Linden,"3,884",4,0,2,1,1,18,4,14,0,0
Litchfield,"1,336",2,0,1,0,1,11,3,7,1,0
Livonia,"93,740",138,0,34,19,85,"1,313",111,"1,092",110,4
Lowell,"4,138",9,0,3,0,6,84,4,76,4,2
Ludington,"8,058",34,0,18,2,14,109,13,94,2,1
Luna Pier,"1,408",2,0,0,1,1,11,1,10,0,0
Lyon Township2,"20,815",14,0,1,0,13,,,91,5,0
Mackinac Island,467,3,0,2,0,1,97,3,94,0,0
Mackinaw City,794,7,0,1,1,5,24,4,19,1,0
Madison Heights,"30,100",89,1,11,19,58,435,53,347,35,3
Madison Township,"8,341",15,0,2,0,13,126,5,115,6,1
Manistee,"6,091",28,0,9,1,18,118,19,96,3,1
Manistique,"2,907",7,0,2,0,5,48,4,41,3,0
Marenisco Township,"1,626",0,0,0,0,0,0,0,0,0,0
Marine City,"4,083",3,0,1,0,2,28,2,22,4,1
Marlette,"1,757",3,0,1,0,2,16,1,13,2,0
Marquette,"20,529",23,0,10,0,13,204,14,175,15,1
Marshall,"6,986",11,0,5,1,5,134,10,120,4,0
Marysville,"9,674",9,0,1,0,8,70,7,59,4,3
Mason,"8,431",26,0,6,0,20,143,15,124,4,0
Mattawan,"1,971",5,0,1,0,4,44,9,31,4,0
Mayville,888,1,0,0,0,1,7,0,7,0,0
Melvindale,"10,291",68,1,9,10,48,243,58,163,22,5
Memphis,"1,190",0,0,0,0,0,6,1,5,0,0
Mendon,854,1,0,1,0,0,10,1,9,0,0
Menominee,"8,089",23,0,14,0,9,135,14,117,4,0
Meridian Township,"43,072",98,1,26,15,56,"1,090",115,919,56,3
Metamora Township,"4,279",3,0,0,0,3,26,7,15,4,0
Metro Police Authority of Genesee County,"19,887",42,1,6,6,29,268,39,207,22,2
Michiana,181,0,0,0,0,0,8,3,5,0,0
Midland,"41,961",55,1,19,1,34,354,36,306,12,0
Milan,"6,079",10,0,5,0,5,72,13,51,8,1
Milford,"16,808",10,0,5,1,4,67,14,49,4,0
Millington,"1,000",3,0,3,0,0,9,0,8,1,0
Monroe,"19,754",114,0,25,11,78,383,66,295,22,2
Montague,"2,350",2,0,1,0,1,27,1,26,0,0
Montrose Township,"7,459",11,0,3,1,7,47,10,34,3,1
Morenci,"2,159",10,0,0,0,10,45,18,21,6,0
Morrice,894,1,0,0,0,1,10,2,7,1,0
Mount Morris,"2,860",24,0,7,1,16,64,12,50,2,0
Mount Morris Township,"20,295",137,4,27,6,100,401,136,205,60,2
Mount Pleasant,"25,828",76,0,25,3,48,323,40,271,12,4
Munising,"2,186",6,0,3,0,3,43,6,36,1,2
Muskegon,"38,125",245,7,39,31,168,"1,717",321,"1,226",170,19
Muskegon Heights,"10,720",240,5,14,39,182,630,129,420,81,11
Muskegon Township,"17,879",40,0,10,5,25,781,77,670,34,0
Napoleon Township,"6,751",4,0,1,0,3,34,9,25,0,0
Nashville,"1,660",13,0,3,0,10,24,2,22,0,0
Negaunee,"4,554",3,0,2,0,1,40,2,37,1,0
Newaygo,"2,043",7,0,4,0,3,69,5,61,3,0
New Baltimore,"12,423",8,0,2,0,6,57,3,52,2,0
New Buffalo,"1,875",0,0,0,0,0,11,4,7,0,0
New Era,442,0,0,0,0,0,5,1,4,0,0
New Lothrop,557,0,0,0,0,0,0,0,0,0,0
Niles,"11,154",70,0,18,14,38,273,49,196,28,2
Northfield Township,"8,741",12,0,4,0,8,98,25,60,13,0
North Muskegon,"3,794",1,0,0,0,1,81,3,74,4,0
Northville,"5,992",5,0,1,1,3,40,3,35,2,0
Northville Township,"28,939",21,0,2,5,14,302,34,263,5,2
Norton Shores,"24,578",37,1,11,4,21,695,77,600,18,1
Norway,"2,746",0,0,0,0,0,0,0,0,0,0
Novi,"60,378",43,2,6,3,32,532,33,481,18,0
Oakland Township,"19,495",4,0,1,1,2,30,7,21,2,1
Oak Park,"29,688",83,1,11,16,55,455,69,337,49,2
Olivet,"1,695",4,0,2,0,2,19,5,14,0,0
Ontwa Township-Edwardsburg,"6,493",29,0,3,3,23,124,45,70,9,1
Orchard Lake,"2,465",3,0,0,0,3,20,4,16,0,0
Orion Township,"36,193",20,0,1,2,17,200,17,164,19,0
Oscoda Township,"6,771",16,0,5,0,11,79,24,51,4,1
Otisville,822,0,0,0,0,0,2,0,2,0,0
Otsego,"4,000",16,0,12,0,4,53,7,43,3,0
Ovid,"1,618",1,0,0,0,1,3,0,1,2,0
Owendale,225,0,0,0,0,0,1,0,1,0,0
Owosso,"14,455",76,0,8,5,63,169,41,119,9,2
Oxford,"3,561",3,0,0,0,3,8,0,8,0,0
Oxford Township,"19,139",12,0,2,0,10,81,10,67,4,1
Paw Paw,"3,404",11,0,4,1,6,185,28,144,13,1
Peck,591,0,0,0,0,0,0,0,0,0,0
Pentwater,849,1,0,0,0,1,13,1,12,0,0
Perry,"2,085",2,0,1,1,0,21,3,15,3,0
Petoskey,"5,733",11,0,3,0,8,53,4,45,4,1
Pinckney,"2,479",8,0,5,0,3,10,3,7,0,0
Pinconning,"1,241",0,0,0,0,0,17,0,16,1,0
Pittsfield Township,"39,314",76,1,25,9,41,582,54,493,35,0
Plainwell,"3,810",15,0,3,2,10,65,9,53,3,0
Pleasant Ridge,"2,470",1,0,1,0,0,24,0,21,3,0
Plymouth,"9,142",7,0,5,0,2,74,9,54,11,1
Plymouth Township,"27,032",24,0,9,2,13,165,19,132,14,0
Pontiac,"59,817",799,14,58,96,631,"1,286",412,779,95,17
Portage,"49,175",117,0,29,15,73,"1,442",171,"1,196",75,4
Port Austin,622,0,0,0,0,0,6,0,6,0,0
Port Huron,"28,907",230,1,36,18,175,746,156,540,50,12
Portland,"3,927",8,0,7,0,1,43,6,32,5,0
Port Sanilac,579,0,0,0,0,0,0,0,0,0,0
Potterville,"2,678",4,0,1,0,3,29,3,23,3,1
Prairieville Township,"3,509",0,0,0,0,0,10,3,7,0,0
Quincy,"1,610",3,0,0,0,3,28,3,21,4,0
Raisin Township,"7,716",2,0,1,0,1,26,5,19,2,0
Redford Township,"46,899",302,2,34,54,212,"1,044",223,626,195,5
Reed City,"2,380",9,0,4,1,4,23,1,19,3,0
Reese,"1,372",0,0,0,0,0,7,4,3,0,0
"Richfield Township, Genesee County","8,325",14,0,5,0,9,58,15,37,6,0
"Richfield Township, Roscommon County","3,633",1,0,1,0,0,7,2,4,1,0
Richland,807,2,0,2,0,0,15,0,14,1,0
"Richland Township, Saginaw County","3,934",7,0,2,0,5,10,6,4,0,0
Richmond,"5,918",18,0,3,0,15,40,4,35,1,0
River Rouge,"7,426",41,1,4,4,32,171,31,116,24,10
Riverview,"12,058",14,0,2,0,12,116,10,83,23,2
Rochester,"13,075",8,0,1,1,6,48,4,43,1,0
Rochester Hills,"74,669",53,1,9,8,35,442,47,369,26,1
Rockford,"6,345",7,0,3,0,4,59,3,54,2,0
Rockwood,"3,169",1,0,0,0,1,12,0,11,1,0
Rogers City,"2,676",2,0,2,0,0,47,3,43,1,0
Romeo,"3,623",2,0,1,0,1,31,2,28,1,0
Romulus,"23,389",190,0,28,18,144,532,107,358,67,2
Roosevelt Park,"3,793",3,0,1,2,0,336,1,323,12,0
Roseville,"47,524",187,1,26,41,119,"1,528",148,"1,229",151,4
Rothbury,445,1,0,0,0,1,7,0,7,0,0
Royal Oak,"59,383",56,0,11,4,41,481,64,380,37,0
Saginaw,"48,302",783,11,48,86,638,886,376,420,90,11
Saginaw Township,"39,198",79,1,18,13,47,796,80,679,37,7
Saline,"9,358",13,0,3,2,8,76,5,69,2,0
Sand Lake,532,0,0,0,0,0,12,0,10,2,0
Sandusky,"2,515",7,0,2,0,5,66,5,61,0,0
Saugatuck-Douglas,"2,312",4,0,1,0,3,33,2,28,3,0
Sault Ste. Marie,"13,557",30,0,12,1,17,225,21,193,11,1
Schoolcraft,"1,566",0,0,0,0,0,23,0,20,3,0
Scottville,"1,218",2,0,0,1,1,53,1,49,3,0
Sebewaing,"1,638",3,2,1,0,0,9,1,8,0,0
Shelby,"2,019",2,0,2,0,0,28,1,26,1,0
Shelby Township,"79,878",119,1,45,4,69,500,69,395,36,6
Shepherd,"1,503",0,0,0,0,0,11,2,9,0,0
Southfield,"73,418",204,2,36,48,118,"1,509",262,"1,049",198,3
Southgate,"28,959",46,0,13,8,25,789,70,668,51,4
South Haven,"4,340",24,0,7,3,14,276,33,237,6,1
South Lyon,"11,803",12,0,1,0,11,40,6,33,1,0
South Rockwood,"1,657",0,0,0,0,0,7,1,4,2,0
Sparta,"4,380",11,0,7,0,4,61,8,53,0,0
Spring Arbor Township,"8,044",5,2,0,0,3,12,5,7,0,0
Springfield Township,"14,423",11,0,2,1,8,54,16,32,6,0
Springport Township,"2,144",1,0,0,0,1,7,1,4,2,0
Stanton,"1,430",0,0,0,0,0,13,3,9,1,0
St. Charles,"1,910",2,0,0,0,2,31,8,22,1,0
St. Clair,"5,316",27,0,5,1,21,49,6,39,4,0
St. Clair Shores,"59,618",132,1,17,16,98,591,85,451,55,4
Sterling Heights,"133,055",240,2,42,19,177,"1,334",139,"1,073",122,2
St. Ignace,"2,311",5,0,3,0,2,36,6,27,3,0
St. Johns,"7,890",10,0,6,0,4,40,10,29,1,0
St. Joseph,"8,364",26,0,5,3,18,185,20,158,7,2
St. Joseph Township,"9,773",7,0,0,1,6,88,12,70,6,1
St. Louis,"7,274",15,0,13,0,2,58,5,48,5,1
Stockbridge,"1,237",1,0,1,0,0,9,1,8,0,0
Sturgis,"10,796",61,0,29,2,30,259,32,207,20,0
Sumpter Township,"9,362",8,1,0,0,7,63,17,41,5,1
Sylvan Lake,"1,860",3,0,1,0,2,32,5,26,1,0
Tawas,"4,487",6,0,3,1,2,55,2,52,1,0
Taylor,"61,037",366,1,54,48,263,"1,346",276,946,124,12
Tecumseh,"8,363",7,1,2,0,4,56,11,42,3,0
Thomas Township,"11,488",8,0,0,0,8,68,14,51,3,0
Three Rivers,"7,673",57,0,13,2,42,301,25,260,16,1
Tittabawassee Township,"9,819",10,0,5,0,5,47,10,33,4,0
Traverse City,"15,630",74,0,22,4,48,253,27,219,7,1
Trenton,"18,176",22,0,7,1,14,104,18,69,17,0
Troy,"84,221",52,1,8,11,32,"1,157",94,"1,011",52,2
Tuscarora Township,"2,928",1,0,1,0,0,45,4,34,7,0
Ubly,800,1,0,1,0,0,11,1,10,0,0
Unadilla Township,"3,465",9,0,3,0,6,22,7,15,0,1
Union City,"1,564",2,0,1,0,1,42,3,39,0,0
Utica,"4,949",11,0,3,4,4,174,8,164,2,0
Van Buren Township,"28,210",86,0,18,9,59,540,87,417,36,4
Vassar,"2,543",12,0,9,0,3,18,4,13,1,0
Vernon,776,0,0,0,0,0,2,0,2,0,0
Vicksburg,"3,443",11,0,3,0,8,53,6,44,3,1
Walker,"25,010",63,1,28,12,22,522,46,449,27,1
Walled Lake,"7,170",9,1,1,0,7,44,5,37,2,0
Warren,"135,160",688,4,108,121,455,"2,808",581,"1,688",539,13
Waterford Township,"73,066",146,3,47,18,78,750,172,529,49,4
Watervliet,"1,658",8,0,0,1,7,10,1,8,1,0
Wayland,"4,260",22,0,7,1,14,62,24,38,0,0
Wayne,"16,862",132,1,19,15,97,266,70,167,29,7
West Bloomfield Township,"65,928",38,0,6,3,29,386,38,335,13,2
West Branch,"2,051",2,0,1,0,1,32,4,27,1,0
Westland,"81,438",316,0,88,42,186,"1,234",221,905,108,10
White Cloud,"1,377",7,0,2,0,5,43,2,38,3,1
Whitehall,"2,741",9,0,2,0,7,45,1,44,0,1
White Lake Township,"31,236",13,0,4,0,9,266,13,242,11,0
White Pigeon,"1,521",3,0,2,0,1,19,3,12,4,0
Williamston,"3,924",2,0,0,0,2,25,4,19,2,0
Wixom,"13,876",26,0,4,1,21,169,19,134,16,2
Wolverine Lake,"4,686",10,0,3,1,6,20,4,16,0,0
Woodhaven,"12,435",12,1,5,1,5,117,7,100,10,1
Wyandotte,"24,862",61,0,6,8,47,397,55,276,66,0
Wyoming,"76,498",350,3,85,52,210,"1,477",229,"1,110",138,6
Yale,"1,883",6,0,0,0,6,16,6,10,0,0
Ypsilanti,"21,298",186,4,32,36,114,612,161,406,45,2
Zeeland,"5,567",11,0,5,0,6,97,18,77,2,0
Zilwaukee,"1,538",0,0,0,0,0,10,6,3,1,0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
"2 The FBI determined that the agency's data were overreported. Consequently, those data are not included in this table.",,,,,,,,,,,
