Table 8,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by City, 2017",,,,,,,,,,,
State,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
East Jordan,"2,348",5,0,2,0,3,31,5,26,0,0
East Lansing,"48,920",82,0,22,16,44,781,106,538,137,21
Eastpointe,"32,712",262,0,37,59,166,"1,088",232,675,181,10
Eaton Rapids,"5,230",22,0,7,1,14,85,20,60,5,2
Eau Claire,613,1,0,1,0,0,9,2,6,1,0
Ecorse,"9,132",140,0,11,23,106,327,71,210,46,5
Elk Rapids,"1,610",1,0,1,0,0,20,2,18,0,0
Elkton,763,2,0,1,0,1,13,5,7,1,0
Elsie,974,0,0,0,0,0,1,1,0,0,0
Emmett Township,"11,619",50,0,7,9,34,592,80,495,17,1
Erie Township,"4,359",0,0,0,0,0,1,0,1,0,0
Escanaba,"12,280",33,0,5,5,23,454,49,397,8,1
Essexville,"3,340",7,0,2,2,3,40,10,30,0,1
Evart,"1,858",6,0,2,0,4,28,2,25,1,0
Fair Haven Township,"1,037",0,0,0,0,0,2,0,2,0,0
Farmington,"10,537",4,0,1,1,2,89,12,71,6,0
Farmington Hills,"81,359",93,1,15,16,61,915,119,719,77,8
Fennville,"1,402",1,0,1,0,0,6,0,6,0,0
Fenton,"11,306",17,0,4,1,12,236,22,203,11,1
Ferndale,"20,131",44,0,0,17,27,417,48,312,57,4
Flat Rock,"9,821",23,0,0,6,17,152,9,128,15,0
Flint,"96,605","1,879",37,104,272,"1,466","2,632",961,"1,397",274,45
Flint Township,"30,284",306,3,37,68,198,"1,548",230,"1,223",95,10
Flushing,"7,972",10,0,3,2,5,75,6,69,0,0
Flushing Township,"10,172",10,0,6,0,4,38,11,25,2,1
Forsyth Township,"6,189",26,0,9,0,17,72,4,63,5,1
Fowlerville,"2,922",6,0,2,0,4,56,7,47,2,0
Frankenmuth,"5,159",3,0,1,0,2,62,10,50,2,0
Frankfort,"1,291",2,0,2,0,0,37,4,32,1,2
Franklin,"3,260",1,0,0,0,1,29,8,18,3,0
Fraser,"14,645",28,0,9,5,14,303,35,241,27,1
Fremont,"4,020",7,0,2,0,5,76,4,66,6,0
Fruitport Township,"14,138",29,0,13,2,14,522,12,499,11,2
Gaines Township,"6,139",5,0,4,0,1,28,6,19,3,1
Galesburg,"2,055",3,0,1,0,2,13,1,12,0,0
Galien,528,0,0,0,0,0,0,0,0,0,0
Garden City,"26,571",88,0,10,16,62,396,63,295,38,4
Garfield Township,812,0,0,0,0,0,0,0,0,0,0
Gaylord,"3,697",14,0,2,0,12,321,23,292,6,1
Genesee Township,"20,253",83,1,13,8,61,221,70,140,11,7
Gerrish Township,"2,902",4,0,1,0,3,18,2,15,1,0
Gibraltar,"4,472",8,0,5,0,3,48,3,36,9,0
Gladstone,"4,767",3,0,2,0,1,94,5,87,2,0
Gladwin,"2,865",7,0,3,0,4,65,14,50,1,1
Grand Beach,279,0,0,0,0,0,8,0,8,0,0
Grand Blanc,"7,904",9,0,4,2,3,108,22,81,5,0
Grand Blanc Township,"36,630",68,0,12,10,46,490,64,402,24,1
Grand Haven,"11,004",17,0,14,0,3,195,17,167,11,0
Grand Ledge,"7,809",8,0,6,0,2,122,12,106,4,1
Grand Rapids,"197,868","1,408",12,141,351,904,"4,102",763,"2,976",363,54
Grandville,"16,108",30,1,12,4,13,622,57,542,23,0
Grant,879,1,0,1,0,0,31,4,26,1,0
Grayling,"1,830",12,0,3,0,9,57,12,44,1,0
Green Oak Township,"18,839",22,0,6,2,14,150,19,124,7,2
Greenville,"8,418",37,0,19,1,17,317,31,280,6,1
Grosse Ile Township,"10,084",0,0,0,0,0,29,6,22,1,0
Grosse Pointe,"5,151",10,0,0,2,8,103,11,87,5,2
Grosse Pointe Farms,"9,106",5,0,0,2,3,113,15,95,3,0
Grosse Pointe Park,"11,061",15,0,4,4,7,166,11,142,13,1
Grosse Pointe Shores,"2,904",0,0,0,0,0,15,2,13,0,0
Grosse Pointe Woods,"15,566",19,0,7,1,11,206,22,164,20,1
Hamburg Township,"21,897",14,0,7,0,7,71,9,57,5,0
Hampton Township,"9,522",16,0,8,1,7,167,15,143,9,0
Hamtramck,"21,654",175,0,11,49,115,616,161,337,118,4
Hancock,"4,576",2,0,1,1,0,25,5,18,2,0
Harbor Beach,"1,602",7,0,4,0,3,38,12,25,1,0
Harbor Springs,"1,208",1,0,1,0,0,24,4,20,0,0
Harper Woods,"13,653",102,0,14,27,61,691,103,515,73,2
Hart,"2,080",15,0,2,0,13,168,15,153,0,0
Hartford,"2,602",8,0,1,1,6,38,2,30,6,0
Hastings,"7,272",22,0,9,0,13,120,13,106,1,2
Hazel Park,"16,551",67,0,7,12,48,374,57,257,60,4
Highland Park,"10,757",183,5,8,39,131,391,83,204,104,5
Highland Township,"19,912",8,0,1,2,5,136,26,96,14,0
Hillsdale,"8,147",17,0,8,1,8,117,17,94,6,1
Holland,"33,613",119,1,39,8,71,783,129,627,27,6
Holly,"6,156",4,0,0,0,4,79,18,59,2,0
Hopkins,609,0,0,0,0,0,0,0,0,0,0
Houghton,"8,031",1,0,0,0,1,166,4,158,4,0
Howell,"9,538",22,0,7,0,15,115,17,92,6,1
Hudson,"2,225",5,0,0,0,5,51,8,43,0,0
Huntington Woods,"6,343",4,0,1,0,3,23,2,18,3,0
Huron Township,"15,636",39,1,7,4,27,182,44,120,18,5
Imlay City,"3,577",18,0,12,1,5,44,9,34,1,1
Independence Township,"36,836",23,0,7,2,14,232,32,189,11,1
Inkster,"24,324",354,9,37,48,260,662,230,343,89,8
Ionia,"11,287",34,1,19,0,14,158,23,126,9,1
Iron Mountain,"7,397",2,0,2,0,0,4,2,2,0,0
Iron River,"2,838",13,1,0,0,12,65,14,51,0,0
Ironwood,"4,887",6,0,0,0,6,68,4,59,5,0
Ishpeming,"6,471",13,0,4,1,8,86,7,70,9,2
Jackson,"32,822",371,7,58,55,251,"1,371",211,"1,052",108,16
Jonesville,"2,208",3,0,2,1,0,87,2,82,3,0
Kalamazoo,"76,263",913,10,130,152,621,"3,174",710,"2,132",332,46
Kalamazoo Township,"24,590",83,0,13,9,61,579,160,362,57,0
Kalkaska,"2,043",5,0,3,0,2,62,2,59,1,1
Keego Harbor,"3,030",1,0,0,0,1,41,5,34,2,0
Kentwood,"52,197",171,1,29,24,117,"1,206",175,955,76,4
Kinde,422,0,0,0,0,0,0,0,0,0,0
Kingsford,"5,003",3,0,2,0,1,30,0,30,0,0
Kinross Township,"7,396",1,0,0,0,1,15,3,11,1,0
Laingsburg,"1,284",0,0,0,0,0,10,4,6,0,0
Lake Angelus,297,0,0,0,0,0,1,0,1,0,0
Lake Linden,990,0,0,0,0,0,2,1,1,0,0
Lake Odessa,"2,035",6,0,4,0,2,26,7,18,1,0
Lake Orion,"3,058",3,0,2,0,1,34,1,31,2,0
Lakeview,"1,011",3,0,3,0,0,46,8,38,0,0
Lansing,"116,302","1,321",14,108,238,961,"3,549",883,"2,267",399,30
Lansing Township,"8,150",54,1,3,21,29,364,63,281,20,3
Lapeer,"8,735",26,0,11,1,14,336,66,255,15,0
Lapeer Township,"5,058",0,0,0,0,0,20,4,16,0,0
Lathrup Village,"4,126",6,0,1,0,5,33,5,26,2,1
Laurium,"1,941",4,0,1,0,3,11,2,9,0,0
Lawton,"1,860",9,0,3,0,6,37,3,33,1,0
Lennon,498,1,0,1,0,0,5,0,5,0,0
Leslie,"1,875",5,0,0,0,5,17,3,14,0,0
Lexington,"1,101",0,0,0,0,0,2,1,1,0,0
Lincoln Park,"36,502",258,1,18,44,195,"1,133",178,799,156,11
Lincoln Township,"14,460",14,0,2,1,11,163,17,141,5,0
Linden,"3,842",1,0,1,0,0,19,1,18,0,0
Litchfield,"1,343",1,0,1,0,0,13,2,11,0,0
Livonia,"93,603",108,0,16,16,76,"1,431",165,"1,137",129,6
Lowell,"4,089",15,0,8,0,7,82,8,71,3,0
Ludington,"8,068",31,0,17,1,13,171,19,149,3,0
Luna Pier,"1,368",5,0,1,1,3,19,2,16,1,0
Lyon Township,"19,890",12,0,1,1,10,124,26,94,4,0
Mackinac Island,475,2,0,0,1,1,167,0,167,0,0
Mackinaw City,801,1,0,0,0,1,35,3,32,0,0
Madison Heights,"30,152",50,0,11,14,25,510,72,379,59,5
Madison Township,"8,470",17,0,3,1,13,153,10,135,8,0
Mancelona,"1,359",0,0,0,0,0,14,3,11,0,0
Manistee,"6,030",16,2,5,1,8,134,42,92,0,0
Manistique,"2,890",9,0,2,0,7,74,11,62,1,0
Marenisco Township,"1,599",0,0,0,0,0,0,0,0,0,0
Marine City,"4,108",13,0,1,0,12,30,9,19,2,1
Marlette,"1,762",0,0,0,0,0,33,8,25,0,0
Marquette,"20,442",40,1,27,0,12,257,19,225,13,0
Marshall,"7,028",20,0,4,2,14,119,21,91,7,0
Marysville,"9,702",21,1,1,1,18,131,11,117,3,0
Mason,"8,418",23,0,6,1,16,169,12,146,11,1
Mattawan,"1,936",8,0,1,0,7,26,11,12,3,0
Mayville,905,4,0,1,0,3,11,0,11,0,0
Melvindale,"10,262",64,0,4,9,51,251,39,169,43,1
Mendon,854,0,0,0,0,0,14,2,12,0,0
Menominee,"8,230",28,0,6,1,21,127,23,100,4,1
Meridian Township,"42,878",85,2,16,17,50,"1,054",211,813,30,3
Metamora Township,"4,250",1,0,0,0,1,25,8,15,2,0
Metro Police Authority of Genesee County,"20,001",28,0,6,1,21,210,33,170,7,0
Michiana,181,0,0,0,0,0,6,2,4,0,0
Midland,"42,131",53,1,25,1,26,508,54,444,10,0
Milan,"6,044",26,0,10,0,16,96,26,66,4,0
Milford,"16,726",4,0,2,0,2,79,8,69,2,1
Millington,"1,016",1,0,1,0,0,10,2,7,1,0
Monroe,"19,868",107,1,25,9,72,389,54,303,32,1
Montague,"2,358",3,0,0,0,3,34,3,30,1,0
Montrose Township,"7,466",4,0,1,0,3,57,19,33,5,0
Morenci,"2,174",6,0,2,0,4,17,9,8,0,0
Morrice,891,1,0,1,0,0,12,0,12,0,0
Mount Morris,"2,918",10,0,2,0,8,93,15,72,6,0
Mount Morris Township,"20,365",140,3,23,18,96,425,135,256,34,2
Mount Pleasant,"26,366",62,0,22,3,37,370,59,293,18,1
Munising,"2,232",3,0,1,0,2,44,8,35,1,0
Muskegon,"38,375",229,3,29,55,142,"2,059",395,"1,467",197,20
Muskegon Heights,"10,786",195,3,20,38,134,648,209,392,47,13
Muskegon Township,"17,842",56,1,18,3,34,714,54,635,25,4
Napoleon Township,"6,727",2,0,1,0,1,39,12,25,2,0
Nashville,"1,644",15,0,2,0,13,27,7,19,1,1
Negaunee,"4,576",7,0,3,0,4,49,3,44,2,0
Newaygo,"2,045",6,0,5,0,1,85,14,66,5,0
New Baltimore,"12,401",15,0,5,0,10,87,17,66,4,1
New Buffalo,"1,870",1,0,0,0,1,20,2,17,1,0
New Era,443,0,0,0,0,0,5,1,4,0,0
New Lothrop,555,0,0,0,0,0,6,2,4,0,0
Niles,"11,202",67,1,16,9,41,265,57,169,39,6
Northfield Township,"8,634",10,0,1,0,9,44,14,29,1,1
North Muskegon,"3,794",5,0,1,2,2,82,2,79,1,0
Northville,"5,981",6,0,1,0,5,48,1,45,2,0
Northville Township,"28,751",29,0,4,0,25,310,27,268,15,3
Norton Shores,"24,402",43,1,10,8,24,673,82,564,27,4
Norway,"2,757",0,0,0,0,0,0,0,0,0,0
Novi,"59,895",43,0,11,6,26,617,42,543,32,0
Oakland Township,"19,241",7,0,0,0,7,57,18,37,2,0
Oak Park,"29,698",101,0,15,21,65,556,84,398,74,5
Olivet,"1,707",2,0,1,0,1,7,1,6,0,1
Ontwa Township-Edwardsburg,"6,487",19,0,1,1,17,120,32,80,8,2
Orchard Lake,"2,431",5,0,2,0,3,22,2,20,0,1
Orion Township,"35,857",10,0,0,2,8,246,34,201,11,3
Oscoda Township,"6,831",28,0,7,0,21,118,19,97,2,0
Otisville,821,0,0,0,0,0,4,2,1,1,0
Otsego,"4,005",6,0,4,1,1,57,12,42,3,0
Ovid,"1,615",3,0,0,0,3,12,0,12,0,0
Owendale,227,0,0,0,0,0,0,0,0,0,0
Owosso,"14,587",79,0,23,5,51,250,47,194,9,3
Oxford,"3,548",1,0,1,0,0,17,1,14,2,0
Oxford Township,"18,365",16,0,6,0,10,72,17,52,3,0
Paw Paw,"3,435",16,0,4,1,11,133,11,119,3,0
Peck,598,0,0,0,0,0,0,0,0,0,0
Pentwater,839,0,0,0,0,0,9,2,7,0,0
Perry,"2,094",12,0,2,0,10,10,1,7,2,0
Petoskey,"5,764",5,0,2,0,3,51,6,45,0,0
Pigeon,"1,143",0,0,0,0,0,0,0,0,0,0
Pinckney,"2,463",2,0,1,0,1,18,6,11,1,0
Pinconning,"1,249",0,0,0,0,0,9,3,6,0,0
Pittsfield Township,"39,061",86,3,21,14,48,639,46,562,31,3
Plainwell,"3,825",11,0,3,2,6,62,10,51,1,0
Pleasant Ridge,"2,555",0,0,0,0,0,40,2,36,2,0
Plymouth,"9,072",13,0,4,0,9,71,7,59,5,0
Plymouth Township,"26,779",22,0,4,5,13,226,27,177,22,0
Pontiac,"59,731",644,4,61,97,482,"1,510",468,820,222,25
Portage,"48,876",108,0,31,14,63,"1,468",186,"1,223",59,3
Port Austin,628,0,0,0,0,0,7,0,7,0,0
Port Huron,"29,092",264,0,35,20,209,674,145,492,37,5
Portland,"3,943",7,0,4,0,3,44,3,41,0,0
Port Sanilac,591,0,0,0,0,0,0,0,0,0,0
Potterville,"2,634",2,0,1,0,1,8,3,5,0,0
Prairieville Township,"3,452",1,0,0,0,1,12,6,6,0,0
Quincy,"1,627",8,0,1,1,6,27,3,24,0,0
Raisin Township,"7,619",13,0,3,0,10,19,7,12,0,0
Reading,"1,046",3,0,2,0,1,9,0,8,1,0
Redford Township,"46,867",320,1,42,64,213,"1,278",359,707,212,7
Reed City,"2,379",7,0,2,0,5,34,4,30,0,0
Reese,"1,383",1,0,0,0,1,22,2,19,1,0
"Richfield Township, Genesee County","8,270",8,0,4,1,3,64,14,46,4,0
"Richfield Township, Roscommon County","3,607",5,0,2,0,3,22,5,16,1,0
Richland,809,1,0,1,0,0,14,2,10,2,0
"Richland Township, Saginaw County","3,934",0,0,0,0,0,7,0,7,0,0
Richmond,"5,893",19,0,1,0,18,60,11,47,2,0
River Rouge,"7,417",76,1,5,10,60,212,55,130,27,3
Riverview,"12,045",29,0,4,4,21,150,11,104,35,0
Rochester,"13,068",21,0,1,0,20,72,12,58,2,0
Rochester Hills,"73,827",39,0,13,3,23,471,50,403,18,1
Rockford,"6,316",11,0,5,1,5,61,6,54,1,2
Rockwood,"3,159",2,0,0,0,2,17,3,13,1,0
Rogers City,"2,676",1,0,0,1,0,40,6,33,1,0
Romeo,"3,616",5,0,2,0,3,34,5,27,2,0
Romulus,"23,174",210,2,12,33,163,756,118,524,114,3
Roosevelt Park,"3,826",10,0,3,3,4,263,3,251,9,0
Roseville,"47,651",205,3,31,51,120,"1,623",201,"1,303",119,6
Rothbury,425,0,0,0,0,0,16,2,14,0,0
Royal Oak,"59,303",54,0,7,7,40,543,46,446,51,4
Saginaw,"48,589",762,15,50,75,622,913,383,455,75,19
Saginaw Township,"39,319",101,0,16,25,60,878,113,739,26,4
Saline,"9,207",13,0,3,0,10,54,3,48,3,0
Sand Lake,527,0,0,0,0,0,15,1,14,0,0
Sandusky,"2,545",5,0,0,1,4,63,10,51,2,0
Saugatuck-Douglas,"2,303",5,0,3,1,1,43,4,38,1,1
Sault Ste. Marie,"13,630",47,1,13,4,29,247,20,218,9,2
Schoolcraft,"1,571",1,0,0,0,1,23,3,19,1,0
Scottville,"1,222",5,0,3,0,2,55,3,52,0,0
Sebewaing,"1,655",2,0,1,0,1,12,1,11,0,0
Shelby Township,"79,217",82,1,25,7,49,579,75,473,31,0
Shepherd,"1,516",2,0,1,0,1,36,9,25,2,0
Somerset Township,"4,556",2,0,1,0,1,17,3,14,0,0
Southfield,"73,324",151,1,18,37,95,"2,032",315,"1,454",263,7
Southgate,"28,939",81,0,13,18,50,774,67,629,78,3
South Haven,"4,362",41,0,8,6,27,273,29,236,8,0
South Lyon,"11,777",7,0,1,0,6,55,4,47,4,0
South Rockwood,"1,638",0,0,0,0,0,9,2,6,1,1
Sparta,"4,370",7,0,2,0,5,98,7,90,1,0
Spring Arbor Township,"7,974",5,0,2,0,3,33,9,23,1,0
Springfield Township,"14,341",17,1,1,1,14,66,8,50,8,1
Stanton,"1,415",1,0,0,0,1,10,2,8,0,0
St. Charles,"1,925",4,0,0,1,3,40,5,34,1,0
St. Clair,"5,350",24,0,3,0,21,56,23,32,1,3
St. Clair Shores,"59,782",113,0,29,14,70,695,92,558,45,5
Sterling Heights,"132,882",245,4,42,19,180,"1,504",164,"1,233",107,6
St. Ignace,"2,366",2,1,1,0,0,49,7,40,2,0
St. Johns,"7,938",10,0,6,0,4,69,19,48,2,0
St. Joseph,"8,276",17,0,7,0,10,113,9,100,4,1
St. Joseph Township,"9,813",7,0,0,0,7,110,27,77,6,0
St. Louis,"6,994",23,0,15,0,8,54,5,48,1,0
Stockbridge,"1,237",1,0,0,0,1,6,0,6,0,0
Sturgis,"10,858",27,0,5,1,21,344,42,286,16,0
Sumpter Township,"9,215",10,0,0,0,10,103,34,61,8,0
Sylvan Lake,"1,841",1,0,0,0,1,27,3,23,1,0
Tawas,"4,522",6,0,2,0,4,93,5,87,1,0
Taylor,"60,882",348,4,39,58,247,"1,480",326,973,181,23
Tecumseh,"8,345",14,1,7,1,5,86,11,71,4,0
Thetford Township,"6,656",1,0,0,0,1,12,2,9,1,0
Thomas Township,"11,450",10,0,3,0,7,105,15,88,2,1
Three Rivers,"7,695",46,0,6,1,39,292,14,263,15,0
Tittabawassee Township,"9,776",7,0,0,1,6,54,13,38,3,1
Traverse City,"15,617",87,1,17,1,68,296,40,242,14,2
Trenton,"18,161",20,0,3,3,14,129,17,94,18,0
Troy,"84,086",55,0,14,6,35,"1,275",94,"1,114",67,1
Tuscarora Township,"2,946",3,0,1,1,1,47,5,40,2,0
Ubly,811,1,0,0,0,1,5,2,3,0,0
Unadilla Township,"3,435",10,0,2,0,8,20,6,11,3,0
Utica,"4,960",13,0,5,2,6,198,7,185,6,0
Van Buren Township,"27,911",82,3,25,10,44,646,64,513,69,4
Vassar,"2,580",13,0,5,0,8,7,1,5,1,0
Vernon,752,1,0,0,0,1,3,1,2,0,0
Vicksburg,"3,350",8,0,4,0,4,47,8,38,1,0
Walker,"24,987",48,0,19,11,18,552,54,483,15,1
Walled Lake,"7,104",11,0,2,1,8,62,12,48,2,0
Warren,"135,303",681,7,125,97,452,"2,900",659,"1,804",437,26
Waterford Township,"73,060",118,1,41,17,59,835,250,517,68,7
Watervliet,"1,671",8,0,2,0,6,31,3,26,2,0
Wayland,"4,228",11,0,1,0,10,65,17,46,2,0
Wayne,"16,857",159,0,19,31,109,342,71,228,43,4
West Bloomfield Township,"65,948",47,0,5,1,41,500,73,411,16,0
West Branch,"2,052",5,0,3,1,1,28,3,25,0,0
Westland,"81,158",258,5,64,48,141,"1,388",269,980,139,11
White Cloud,"1,372",6,0,4,0,2,22,4,18,0,2
Whitehall,"2,726",5,0,3,0,2,60,5,55,0,0
White Lake Township,"31,016",22,0,5,2,15,287,24,251,12,2
White Pigeon,"1,509",3,0,0,0,3,28,8,19,1,0
Williamston,"3,892",1,0,0,0,1,26,3,23,0,0
Wixom,"13,801",34,0,5,4,25,233,31,185,17,0
Wolverine Lake,"4,586",6,0,4,0,2,22,7,14,1,0
Wyandotte,"24,817",56,0,17,6,33,418,54,316,48,1
Wyoming,"76,153",356,3,74,83,196,"1,666",235,"1,221",210,11
Yale,"1,889",12,0,0,0,12,22,8,12,2,0
Ypsilanti,"21,267",184,2,32,37,113,606,135,428,43,5
Zeeland,"5,594",14,0,3,1,10,98,27,68,3,1
Zilwaukee,"1,546",1,0,0,0,1,9,2,6,1,0
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,
