Table 8,,,,,,,,,,,,,
MICHIGAN,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2015",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,
Birch Run,"1,481",2,0,0,,1,1,97,3,92,2,0,
Birmingham,"20,925",8,0,2,,3,3,215,22,183,10,0,
Blackman Township,"37,632",83,2,19,,12,50,"1,189",114,"1,046",29,3,
Blissfield,"3,250",9,0,1,,0,8,25,7,18,0,0,
Bloomfield Hills,"4,021",2,0,0,,0,2,22,0,19,3,0,
Bloomfield Township,"42,190",13,0,2,,4,7,402,68,319,15,0,
Boyne City,"3,767",6,0,0,,0,6,50,9,41,0,0,
Brandon Township,"15,672",15,0,4,,0,11,57,13,42,2,0,
Breckenridge,"1,305",1,0,0,,0,1,21,1,20,0,0,
Bridgeport Township,"10,115",45,0,9,,1,35,217,63,136,18,3,
Bridgman,"2,253",5,1,1,,0,3,24,4,18,2,1,
Brighton,"7,682",10,0,6,,1,3,151,9,140,2,1,
Bronson,"2,320",6,0,1,,0,5,40,4,36,0,0,
Buchanan,"4,374",22,0,6,,1,15,147,22,124,1,0,
Buena Vista Township,"8,257",73,0,10,,6,57,207,76,116,15,1,
Burr Oak,818,5,0,0,,0,5,3,0,3,0,0,
Burton,"28,739",120,0,23,,32,65,971,183,741,47,10,
Cadillac,"10,329",26,0,8,,1,17,220,40,178,2,0,
Calumet,703,1,0,1,,0,0,34,4,30,0,0,
Cambridge Township,"5,671",0,0,0,,0,0,19,10,9,0,0,
Canton Township,"89,628",119,0,19,,14,86,"1,097",129,915,53,5,
Capac,"1,849",7,0,0,,1,6,40,11,28,1,0,
Carleton,"2,349",7,0,2,,1,4,22,6,15,1,0,
Caro,"4,089",19,0,5,,2,12,144,16,126,2,0,
Carrollton Township,"5,851",13,0,2,,1,10,88,33,54,1,0,
Carson City,"1,090",8,0,5,,0,3,17,1,16,0,0,
Caseville,743,1,0,1,,0,0,22,2,20,0,0,
Caspian-Gaastra,"1,193",2,0,0,,0,2,8,4,4,0,0,
Cass City,"2,351",1,0,1,,0,0,48,5,42,1,0,
Cassopolis,"1,730",9,0,3,,0,6,30,5,24,1,0,
Center Line,"8,331",34,0,9,,9,16,234,33,172,29,0,
Central Lake,938,1,0,1,,0,0,3,0,3,0,0,
Charlevoix,"2,534",1,0,1,,0,0,106,6,98,2,0,
Charlotte,"9,053",19,1,7,,1,10,186,21,163,2,2,
Cheboygan,"4,760",11,0,7,,0,4,154,23,126,5,0,
Chelsea,"5,274",4,0,0,,1,3,39,7,30,2,0,
Chesterfield Township,"44,636",105,0,9,,6,90,796,84,674,38,2,
Chikaming Township,"3,090",2,0,1,,1,0,23,10,12,1,0,
Chocolay Township,"6,003",7,0,1,,0,6,44,5,38,1,0,
Clare,"3,078",17,0,7,,0,10,89,8,77,4,1,
Clarkston,902,0,0,0,,0,0,4,0,4,0,1,
Clawson,"12,105",19,0,5,,1,13,57,6,49,2,1,
Clayton Township,"7,204",10,0,4,,0,6,59,28,29,2,0,
Clay Township,"8,861",20,1,4,,1,14,102,26,75,1,2,
Clinton,"2,280",1,0,0,,0,1,19,3,16,0,0,
Clio,"2,533",4,1,0,,0,3,46,7,36,3,0,
Coldwater,"10,783",29,0,8,,1,20,269,30,236,3,1,
Coleman,"1,203",2,0,2,,0,0,28,1,27,0,1,
Colon,"1,156",1,0,0,,0,1,37,0,37,0,1,
Columbia Township,"7,424",7,0,1,,0,6,75,16,55,4,0,
Commerce Township,"38,185",19,1,2,,2,14,301,59,224,18,1,
Constantine,"2,058",10,0,7,,0,3,47,7,38,2,0,
Covert Township,"2,826",14,0,5,,1,8,60,14,41,5,0,
Croswell,"2,328",10,0,2,,0,8,49,8,40,1,0,
Crystal Falls,"1,408",1,0,0,,0,1,24,4,18,2,0,
Davison,"4,961",1,0,0,,0,1,48,9,38,1,0,
Davison Township,"18,948",23,0,3,,1,19,309,61,238,10,1,
Dearborn,"94,962",356,1,33,,102,220,"2,932",398,"2,162",372,12,
Dearborn Heights,"56,111",218,2,16,,48,152,"1,159",296,621,242,3,
Decatur,"1,764",14,0,5,,1,8,85,13,71,1,0,
Denton Township,"5,374",3,0,2,,0,1,78,16,61,1,0,
Detroit,"673,225","11,846",295,530,,"3,457","7,564","27,559","7,820","14,523","5,216",842,
Dewitt,"4,733",4,0,3,,0,1,23,5,17,1,1,
Dewitt Township,"14,786",19,1,9,,3,6,142,31,107,4,1,
Dryden Township,"4,764",7,0,1,,0,6,24,5,19,0,0,
Durand,"3,333",11,0,3,,1,7,53,6,45,2,0,
East Grand Rapids,"11,402",6,0,4,,0,2,100,10,84,6,0,
East Jordan,"2,365",1,0,1,,0,0,37,3,33,1,1,
East Lansing,"48,668",94,1,38,,13,42,728,162,479,87,67,
Eastpointe,"32,709",263,5,30,,69,159,968,168,539,192,1,
Eaton Rapids,"5,220",14,0,4,,0,10,73,13,57,3,0,
Eau Claire,620,0,0,0,,0,0,4,0,4,0,0,
Elk Rapids,"1,618",0,0,0,,0,0,47,6,41,0,0,
Elkton,778,0,0,0,,0,0,16,2,14,0,0,
Emmett Township,"11,669",40,0,8,,4,28,552,74,472,6,2,
Erie Township,"4,397",3,0,0,,0,3,35,17,16,2,0,
Escanaba,"12,364",31,0,17,,1,13,442,39,390,13,1,
Essexville,"3,400",0,0,0,,0,0,48,9,36,3,0,
Evart,"1,863",3,0,3,,0,0,37,4,33,0,0,
Farmington,"10,600",6,0,1,,1,4,116,9,100,7,2,
Farmington Hills,"81,862",75,0,12,,13,50,935,135,729,71,8,
Fennville,"1,399",1,0,1,,0,0,5,0,4,1,0,
Fenton,"11,395",22,0,4,,1,17,264,45,209,10,2,
Ferndale,"20,345",40,0,5,,10,25,599,110,441,48,1,
Flat Rock,"9,849",22,0,4,,5,13,133,12,100,21,0,
Flint,"98,221","1,451",47,77,,272,"1,055","3,538","1,391","1,880",267,79,
Flint Township,"30,654",220,0,31,,61,128,"1,710",294,"1,336",80,7,
Flushing,"8,075",6,0,0,,1,5,87,18,66,3,0,
Flushing Township,"10,270",6,0,4,,0,2,39,20,18,1,0,
Forsyth Township,"6,250",22,0,6,,0,16,95,19,74,2,2,
Fowlerville,"2,979",10,0,7,,1,2,67,3,63,1,1,
Frankenmuth,"4,949",3,0,2,,0,1,65,5,59,1,0,
Frankfort,"1,288",3,0,0,,0,3,30,0,30,0,0,
Franklin,"3,252",2,0,0,,1,1,30,7,20,3,0,
Fraser,"14,658",20,0,0,,5,15,301,61,217,23,1,
Fremont,"4,022",12,0,4,,0,8,177,7,166,4,1,
Fruitport,"1,107",23,0,10,,4,9,643,46,587,10,0,
Gagetown,378,0,0,0,,0,0,0,0,0,0,0,
Gaines Township,"6,209",0,0,0,,0,0,33,9,20,4,0,
Galesburg,"2,046",3,0,0,,0,3,53,23,30,0,0,
Garden City,"26,909",53,0,13,,10,30,488,147,298,43,2,
Garfield Township,821,0,0,0,,0,0,0,0,0,0,0,
Gaylord,"3,648",11,0,5,,0,6,201,14,177,10,0,
Genesee Township,"20,540",84,0,10,,10,64,421,160,234,27,2,
Gerrish Township,"2,926",5,0,3,,0,2,55,39,16,0,0,
Gibraltar,"4,523",5,0,1,,1,3,60,8,46,6,0,
Gladstone,"4,843",4,0,2,,1,1,78,9,65,4,0,
Gladwin,"2,901",16,0,9,,0,7,93,13,79,1,3,
Grand Beach,272,1,0,0,,0,1,3,0,3,0,0,
Grand Blanc,"7,977",11,0,3,,3,5,88,20,60,8,1,
Grand Blanc Township,"36,557",66,0,24,,9,33,607,125,460,22,4,
Grand Haven,"11,108",19,0,8,,0,11,211,23,182,6,0,
Grand Ledge,"7,791",5,0,2,,0,3,109,17,90,2,2,
Grand Rapids,"195,268","1,420",10,128,,423,859,"4,604",974,"3,339",291,45,
Grandville,"15,980",38,0,8,,13,17,585,43,529,13,0,
Grant,878,3,0,2,,0,1,15,3,12,0,0,
Grayling,"1,827",10,0,4,,1,5,115,15,99,1,0,
Green Oak Township,"18,432",21,0,6,,0,15,189,31,147,11,1,
Greenville,"8,423",41,0,17,,2,22,273,39,227,7,6,
Grosse Ile Township,"10,140",1,0,1,,0,0,34,6,27,1,0,
Grosse Pointe,"5,226",8,0,1,,2,5,110,13,94,3,0,
Grosse Pointe Farms,"9,242",3,0,0,,1,2,89,7,72,10,0,
Grosse Pointe Park,"11,229",9,0,1,,3,5,249,29,197,23,1,
Grosse Pointe Shores,"2,932",3,0,0,,0,3,11,0,11,0,0,
Grosse Pointe Woods,"15,773",9,0,0,,6,3,195,20,155,20,0,
Hamburg Township,"21,825",11,0,8,,0,3,85,11,74,0,0,
Hampton Township,"9,457",14,0,3,,2,9,175,27,142,6,0,
Hamtramck,"22,030",215,1,12,,92,110,640,201,302,137,8,
Hancock,"4,565",9,0,5,,0,4,61,15,43,3,1,
Harbor Beach,"1,630",3,0,0,,0,3,19,4,15,0,0,
Harbor Springs,"1,208",2,0,0,,0,2,17,2,15,0,0,
Harper Woods,"13,833",146,1,10,,58,77,809,117,567,125,3,
Hart,"2,103",7,0,2,,1,4,134,11,122,1,0,
Hartford,"2,616",1,0,0,,0,1,33,6,25,2,1,
Hastings,"7,294",32,0,18,,2,12,96,10,84,2,0,
Hazel Park,"16,655",89,0,9,,11,69,335,84,205,46,4,
Highland Park,"10,074",166,5,9,,47,105,335,65,197,73,11,
Highland Township,"19,856",18,0,6,,2,10,147,23,115,9,0,
Hillsdale,"8,116",25,0,11,,1,13,104,21,80,3,1,
Holland,"33,794",130,3,43,,13,71,867,130,714,23,12,
Holly,"6,222",18,0,7,,1,10,108,22,83,3,1,
Hopkins,609,1,0,1,,0,0,1,0,1,0,0,
Houghton,"7,985",2,1,0,,1,0,105,4,101,0,0,
Howell,"9,629",24,0,8,,2,14,147,12,128,7,1,
Hudson,"2,248",8,0,0,,2,6,28,5,22,1,0,
Huntington Woods,"6,386",2,0,0,,1,1,36,4,26,6,0,
Imlay City,"3,569",9,0,1,,0,8,64,11,51,2,0,
Independence Township,"36,520",32,1,3,,2,26,259,65,187,7,2,
Inkster,"24,657",298,0,31,,64,203,896,407,366,123,0,
Ionia,"11,454",27,0,17,,0,10,177,33,139,5,1,
Iron River,"2,888",13,1,5,,1,6,100,22,74,4,2,
Ironwood,"5,047",6,0,0,,0,6,74,14,55,5,1,
Ishpeming,"6,547",18,0,9,,2,7,91,5,80,6,0,
Ishpeming Township,"3,562",0,0,0,,0,0,2,1,1,0,0,
Jackson,"33,126",411,3,55,,78,275,"1,477",258,"1,155",64,15,
Jonesville,"2,208",1,0,1,,0,0,61,2,58,1,0,
Kalamazoo,"76,325",861,2,92,,172,595,"2,686",650,"1,865",171,29,
Kalamazoo Township,"24,473",98,1,23,,21,53,524,172,320,32,9,
Kalkaska,"2,062",1,0,0,,0,1,44,0,41,3,0,
Keego Harbor,"3,040",4,0,0,,0,4,27,8,19,0,0,
Kentwood,"51,287",189,0,23,,40,126,"1,366",230,"1,080",56,8,
Kingsford,"5,093",5,0,3,,0,2,52,11,41,0,0,
Kinross Township,"7,571",0,0,0,,0,0,20,7,13,0,0,
Laingsburg,"1,274",2,0,1,,0,1,16,3,12,1,0,
Lake Angelus,299,0,0,0,,0,0,2,0,2,0,0,
Lake Linden,990,2,0,1,,0,1,6,1,4,1,0,
Lake Odessa,"2,033",10,0,1,,1,8,11,1,10,0,1,
Lake Orion,"3,071",6,0,1,,0,5,42,4,36,2,3,
Lansing,"114,694","1,327",9,118,,265,935,"3,450",959,"2,140",351,19,
Lansing Township,"8,109",36,2,5,,3,26,228,42,177,9,1,
Lapeer,"8,747",30,0,7,,3,20,351,41,304,6,1,
Lapeer Township,"5,054",0,0,0,,0,0,11,4,7,0,0,
Lathrup Village,"4,165",6,0,1,,2,3,41,8,32,1,0,
Laurium,"1,945",1,0,0,,0,1,16,4,12,0,0,
Lawton,"1,864",4,0,2,,1,1,45,9,33,3,0,
Lennon,500,0,0,0,,0,0,2,2,0,0,0,
Leslie,"1,858",2,0,0,,0,2,21,3,18,0,1,
Lincoln Park,"37,027",221,1,22,,56,142,"1,122",242,768,112,3,
Lincoln Township,"14,527",21,0,9,,3,9,147,7,135,5,0,
Linden,"3,830",2,0,1,,0,1,22,3,18,1,0,
Litchfield,"1,340",2,0,1,,0,1,27,6,21,0,0,
Livonia,"94,521",146,1,19,,21,105,"1,857",190,"1,481",186,7,
Lowell,"3,917",6,0,0,,0,6,48,4,43,1,0,
Luna Pier,"1,385",3,0,1,,0,2,18,3,15,0,1,
Lyon Township,"17,945",19,0,4,,1,14,168,25,132,11,0,
Mackinac Island,489,2,0,1,,0,1,181,1,180,0,0,
Mackinaw City,809,1,0,0,,0,1,23,2,21,0,0,
Madison Heights,"30,409",57,1,19,,16,21,555,58,434,63,2,
Madison Township,"8,500",6,0,2,,0,4,127,9,115,3,1,
Mancelona,"1,368",2,0,2,,0,0,14,3,10,1,0,
Manistee,"6,069",4,0,3,,0,1,77,19,56,2,0,
Manistique,"2,956",15,0,3,,0,12,49,7,41,1,1,
Marenisco Township,"1,706",0,0,0,,0,0,0,0,0,0,0,
Marine City,"4,147",10,0,3,,0,7,78,23,54,1,1,
Marlette,"1,791",6,0,1,,0,5,27,3,24,0,0,
Marquette,"21,460",45,0,20,,6,19,275,36,230,9,0,
Marshall,"7,024",16,0,5,,2,9,122,18,101,3,2,
Marysville,"9,758",11,0,4,,3,4,117,11,101,5,3,
Mason,"8,335",12,0,2,,0,10,115,16,95,4,0,
Mattawan,"1,946",7,1,2,,0,4,23,4,18,1,0,
Melvindale,"10,379",48,1,5,,8,34,256,51,173,32,4,
Menominee,"8,429",19,0,3,,2,14,153,38,111,4,0,
Meridian Township,"42,304",82,1,13,,15,53,848,131,697,20,1,
Metamora Township,"4,233",7,0,2,,0,5,51,22,26,3,1,
Michiana,183,0,0,0,,0,0,6,1,5,0,0,
Midland,"41,975",49,1,21,,2,25,534,47,483,4,2,
Milan,"5,978",11,0,6,,0,5,83,12,65,6,0,
Milford,"16,676",11,0,4,,0,7,110,27,79,4,1,
Monroe,"20,074",95,0,17,,11,67,498,107,373,18,3,
Montague,"2,356",2,0,2,,0,0,31,5,25,1,0,
Montrose Township,"7,572",4,0,1,,0,3,65,24,40,1,0,
Morenci,"2,196",5,0,0,,0,5,21,1,20,0,0,
Morrice,896,3,0,2,,0,1,12,3,9,0,0,
Mount Morris,"2,962",17,0,1,,4,12,123,27,94,2,3,
Mount Morris Township,"20,635",136,5,24,,30,77,546,177,315,54,8,
Mount Pleasant,"25,959",53,1,18,,4,30,352,41,299,12,13,
Mundy Township,"14,630",28,0,8,,4,16,287,40,243,4,2,
Munising,"2,301",3,0,1,,0,2,31,3,28,0,0,
Muskegon,"38,442",278,1,27,,64,186,"1,613",326,"1,186",101,9,
Muskegon Heights,"10,787",165,3,13,,23,126,648,169,422,57,14,
Muskegon Township,"17,762",63,3,27,,7,26,745,65,657,23,1,
Napoleon Township,"6,762",3,0,3,,0,0,41,6,32,3,0,
Nashville,"1,634",9,0,2,,0,7,22,4,18,0,2,
Negaunee,"4,628",13,0,7,,1,5,53,7,43,3,0,
Newaygo,"1,951",4,0,2,,0,2,105,24,80,1,0,
New Baltimore,"12,317",15,0,9,,1,5,112,14,91,7,0,
New Buffalo,"1,877",0,0,0,,0,0,44,4,40,0,0,
Niles,"11,352",51,0,13,,7,31,289,50,222,17,5,
Northfield Township,"8,675",20,0,5,,3,12,117,29,76,12,1,
North Muskegon,"3,775",4,0,1,,1,2,67,6,61,0,0,
Northville,"6,026",4,0,0,,0,4,64,8,54,2,0,
Northville Township,"28,897",19,0,0,,4,15,435,71,349,15,1,
Norton Shores,"24,109",41,0,8,,9,24,770,105,641,24,2,
Novi,"59,233",31,1,4,,6,20,762,43,688,31,0,
Oakland Township,"19,357",6,0,0,,0,6,59,13,45,1,1,
Oak Park,"29,963",103,0,14,,25,64,546,133,357,56,4,
Olivet,"1,613",2,0,2,,0,0,14,2,12,0,0,
Ontwa Township-Edwardsburg,"6,482",26,0,6,,2,18,122,30,88,4,0,
Orchard Lake,"2,422",3,0,0,,0,3,31,5,25,1,0,
Orion Township,"34,057",22,0,3,,3,16,207,37,162,8,1,
Oscoda Township,"6,856",20,0,1,,1,18,138,34,99,5,0,
Otisville,824,1,0,0,,0,1,4,0,4,0,0,
Otsego,"3,992",1,0,0,,0,1,83,15,66,2,2,
Ovid,"1,628",1,0,1,,0,0,10,3,6,1,0,
Owendale,232,0,0,0,,0,0,1,0,1,0,0,
Owosso,"14,679",79,0,23,,2,54,391,91,282,18,3,
Oxford,"3,562",0,0,0,,0,0,19,5,13,1,1,
Oxford Township,"17,989",8,0,1,,0,7,106,18,85,3,1,
Paw Paw,"3,454",13,0,1,,1,11,148,6,138,4,0,
Perry,"2,096",1,0,0,,0,1,21,4,17,0,0,
Petoskey3,"5,757",5,0,1,,0,4,27,7,20,0,1,
Pinckney,"2,502",6,0,3,,0,3,25,4,21,0,0,
Pinconning,"1,271",2,0,0,,0,2,10,1,9,0,0,
Pittsfield Township,"38,255",94,0,23,,16,55,584,65,494,25,3,
Plainwell,"3,829",10,0,4,,0,6,79,8,59,12,0,
Pleasant Ridge,"2,574",2,0,0,,0,2,34,12,20,2,0,
Plymouth,"8,889",9,0,0,,0,9,60,9,44,7,0,
Plymouth Township,"26,933",23,0,3,,0,20,260,33,210,17,0,
Pontiac,"59,888",741,7,69,,123,542,"1,545",556,826,163,24,
Portage,"48,214",88,1,21,,21,45,"1,392",159,"1,198",35,3,
Port Austin,639,0,0,0,,0,0,12,1,11,0,0,
Port Huron,"28,946",274,2,30,,30,212,736,201,508,27,15,
Potterville,"2,615",0,0,0,,0,0,7,2,4,1,0,
Prairieville Township,"3,413",1,0,0,,0,1,5,1,4,0,0,
Quincy,"1,633",3,0,3,,0,0,30,7,23,0,1,
Raisin Township,"7,574",1,0,1,,0,0,40,7,33,0,0,
Reading,"1,051",0,0,0,,0,0,3,0,3,0,0,
Redford Township,"47,244",304,3,31,,71,199,"1,320",375,712,233,4,
Reed City,"2,397",9,0,6,,0,3,45,2,40,3,0,
Reese,"1,403",6,0,0,,0,6,10,5,5,0,0,
"Richfield Township, Genesee County","8,365",5,0,2,,0,3,82,29,48,5,0,
"Richfield Township, Roscommon County","3,637",17,0,8,,0,9,58,12,41,5,0,
Richland,780,0,0,0,,0,0,7,4,2,1,0,
"Richland Township, Saginaw County","4,004",5,0,1,,0,4,56,38,14,4,1,
Richmond,"5,848",20,0,6,,1,13,86,8,76,2,1,
River Rouge,"7,553",47,1,4,,8,34,137,37,84,16,1,
Riverview,"12,164",10,0,1,,0,9,152,27,107,18,2,
Rochester,"13,067",13,0,1,,1,11,80,14,66,0,0,
Rochester Hills,"73,660",25,2,6,,1,16,579,59,504,16,3,
Rockford,"6,143",21,0,11,,0,10,81,5,74,2,2,
Rockwood,"3,200",2,0,1,,0,1,29,1,26,2,0,
Rogers City,"2,731",2,0,1,,0,1,54,11,42,1,0,
Romeo,"3,636",4,0,0,,0,4,37,2,35,0,1,
Romulus,"23,386",181,0,31,,24,126,726,141,447,138,3,
Roosevelt Park,"3,816",6,0,0,,3,3,201,12,181,8,0,
Roseville,"47,673",251,1,34,,72,144,"1,924",193,"1,556",175,4,
Rothbury,423,0,0,0,,0,0,13,1,12,0,0,
Royal Oak,"59,535",52,2,12,,8,30,661,96,540,25,7,
Saginaw,"49,459",692,7,58,,87,540,"1,090",460,553,77,48,
Saginaw Township,"39,783",90,1,6,,22,61,945,173,749,23,4,
Saline,"9,246",20,0,7,,2,11,78,5,70,3,2,
Sand Lake,523,0,0,0,,0,0,16,0,16,0,0,
Sandusky,"2,586",8,0,1,,0,7,76,11,58,7,0,
Saugatuck-Douglas,"2,241",10,0,1,,0,9,60,15,43,2,0,
Sault Ste. Marie,"13,911",23,1,9,,0,13,176,23,149,4,1,
Schoolcraft,"1,572",3,0,3,,0,0,11,1,10,0,0,
Scottville,"1,219",5,0,2,,0,3,44,7,36,1,0,
Sebewaing,"1,689",1,0,0,,0,1,19,1,18,0,0,
Shelby Township,"77,636",89,0,35,,3,51,701,103,535,63,0,
Shepherd,"1,506",2,0,0,,0,2,19,3,16,0,2,
Somerset Township,"4,557",2,0,2,,0,0,20,5,15,0,0,
Southfield,"73,319",228,1,21,,75,131,"1,863",337,"1,257",269,2,
Southgate,"29,276",93,3,14,,29,47,897,87,738,72,2,
South Haven,"4,356",37,0,11,,11,15,261,30,224,7,0,
South Lyon,"11,808",10,0,2,,1,7,48,3,44,1,1,
Sparta,"4,296",14,0,4,,1,9,79,9,69,1,0,
Spring Arbor Township,"8,272",5,0,1,,0,4,64,10,54,0,0,
Springfield Township,"14,444",19,1,4,,0,14,78,23,49,6,2,
Standish,"1,450",1,0,1,,0,0,1,1,0,0,0,
Stanton,"1,411",1,0,1,,0,0,24,0,24,0,0,
St. Charles,"1,964",2,0,0,,0,2,42,11,31,0,1,
St. Clair,"5,382",13,0,5,,1,7,57,9,42,6,0,
St. Clair Shores,"60,116",129,0,26,,13,90,756,123,566,67,2,
Sterling Heights,"132,255",233,5,39,,24,165,"1,776",200,"1,431",145,10,
St. Ignace,"2,419",3,0,0,,0,3,67,2,64,1,1,
St. Johns,"7,998",6,0,2,,0,4,78,13,63,2,0,
St. Joseph,"8,316",14,0,4,,1,9,193,21,169,3,1,
St. Joseph Township,"9,892",15,0,0,,3,12,152,15,131,6,0,
St. Louis,"7,197",16,0,10,,0,6,44,5,39,0,1,
Stockbridge,"1,225",1,0,0,,0,1,23,4,19,0,0,
Sturgis,"10,879",51,0,11,,3,37,292,24,253,15,1,
Sumpter Township,"9,320",21,0,3,,0,18,89,28,54,7,0,
Swartz Creek,"5,549",11,0,2,,2,7,132,54,74,4,0,
Sylvan Lake,"1,819",2,0,1,,0,1,32,6,24,2,0,
Tawas,"4,534",5,0,1,,0,4,100,7,91,2,1,
Taylor,"61,250",298,3,33,,66,196,"1,736",366,"1,188",182,11,
Tecumseh,"8,383",16,0,3,,0,13,71,12,58,1,1,
Thetford Township,"6,740",9,0,1,,1,7,10,3,6,1,0,
Thomas Township,"11,616",25,0,7,,0,18,135,30,102,3,2,
Three Rivers,"7,729",37,1,8,,0,28,324,50,266,8,0,
Tittabawassee Township,"9,827",12,0,5,,0,7,101,20,75,6,0,
Traverse City,"15,137",62,1,16,,3,42,319,44,264,11,3,
Troy,"83,642",55,1,15,,9,30,"1,416",120,"1,230",66,0,
Tuscarora Township,"2,978",4,0,0,,0,4,54,6,48,0,1,
Ubly,826,2,0,1,,0,1,9,1,8,0,0,
Unadilla Township,"3,475",2,0,0,,0,2,35,8,26,1,1,
Utica,"4,790",15,0,6,,1,8,191,24,161,6,0,
Van Buren Township,"28,202",73,0,15,,8,50,684,90,526,68,1,
Vassar,"2,611",13,0,9,,0,4,26,7,17,2,1,
Vernon,758,2,0,0,,0,2,12,2,10,0,0,
Vicksburg,"3,252",3,0,0,,0,3,39,5,32,2,0,
Walker,"24,706",39,0,14,,4,21,632,57,567,8,6,
Walled Lake,"7,162",7,0,2,,1,4,51,15,35,1,0,
Warren,"135,367",743,2,104,,139,498,"3,276",737,"2,018",521,24,
Waterford Township,"73,500",102,1,24,,18,59,848,165,620,63,3,
Watervliet,"1,695",4,0,2,,0,2,18,2,15,1,0,
Wayland,"4,154",10,0,3,,0,7,66,4,57,5,1,
Wayne,"16,977",117,2,16,,26,73,357,97,218,42,8,
West Bloomfield Township,"66,274",51,0,8,,3,40,453,75,364,14,1,
West Branch,"2,063",2,0,0,,0,2,27,4,21,2,0,
Westland,"81,917",336,3,50,,62,221,"1,742",362,"1,216",164,13,
White Cloud,"1,378",6,0,1,,0,5,48,8,40,0,0,
Whitehall,"2,695",3,0,1,,0,2,59,1,58,0,1,
White Lake Township,"31,172",26,0,4,,1,21,317,48,261,8,5,
White Pigeon,"1,510",15,0,2,,0,13,14,0,13,1,0,
Williamston,"3,852",2,0,0,,0,2,15,2,13,0,0,
Wixom,"13,806",9,0,2,,3,4,292,34,241,17,1,
Wolverine Lake,"4,417",0,0,0,,0,0,25,4,19,2,0,
Woodhaven,"12,530",19,0,3,,5,11,242,15,202,25,1,
Wyandotte,"24,990",53,0,6,,9,38,437,57,340,40,2,
Wyoming,"75,518",313,2,64,,54,193,"1,635",274,"1,213",148,8,
Yale,"1,909",4,0,3,,1,0,16,2,14,0,0,
Ypsilanti,"20,208",190,3,22,,43,122,646,158,458,30,8,
Zeeland,"5,656",11,0,4,,0,7,147,75,70,2,2,
Zilwaukee,"1,583",0,0,0,,0,0,15,4,11,0,0,
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape. See the data declaration for further explanation.,,,,,,,,,,,,,
"3 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,,
